restaurant,review,rating,date
McDonald's,There was a BITE taken out of the apple pie I bought. I called the store and they did nothing . Absolutely disgusting .,1,05/18/2023
McDonald's,"I work overnight shifts and went to this McDonald's in hopes of grabbing some foods to bring back to work. It clearly states online that they are open 24 hours and there is a sign on the front door that says open 24 hours, however, when I got there I found the door locked and it took me a while to get a young man's attention who did not have any uniform indicating he was a McDonald's employee, and when I asked him if I could just order a meal to go, he said we're closed right now. Naturally I was confused as the sign right to the left of me said open 24 hours. When I questioned the young man about this he said we close down every night for about an hour for cleaning purposes. My response was "" so then you are not open 24 hours a day? "". To which he responded. Yes we are. And I again said then why can I not order food right now? And he again said we're closed for cleaning until about 4:30 a.m. The conversation was obviously going to continue in this ridiculous redundant circle and I don't have time for that idiocy, so I politely suggested that he update his signage and online info to state that they are not open 24 hours because I went there to get food and I was told they were closed, to which he just shrugged as a response. Bottom line, I will not take a chance in driving all the way there again on what is the equivalent of my lunch break to get food and have this ridiculous circumstance stand in my way once more so overall I recommends not going to this McDonald's because they are not open 24 hours. They are open whenever they feel like. Being that I have worked in the hospitality industry for well over a decade, I know that I have a unique perspective to some degree, but this was absurd. By all means, try your luck with this McDonald's that is supposedly open 24 hours but don't be surprised if you encounter the same outcome.",1,05/15/2023
McDonald's,No frills and food is standard however the customer service is good.,4,05/13/2023
McDonald's,Slowest McDonald’s downtown - staff are always friendly tho.,3,05/10/2023
McDonald's,"the dining room closes at 11 and they only accept mobile orders after 11 pm so it's a bit of a bummer, but the food is pretty good",4,05/10/2023
McDonald's,After hours the experience is awful. It's like trying to order a McDonald's through a porthole on the Titanic. Pandemonium and confusion inside the store and all you can do is watch and hope that they remember your number.,1,04/29/2023
McDonald's,"I visited this McDonald's not long ago, and my experience was quite pleasant. The staff were approachable and knowledgeable, the range of products was extensive, and the prices were attractive. The location was easy to access and clean. Overall, a satisfying visit that I'd be happy to repeat.<br>Thanks",5,04/24/2023
McDonald's,"Rude, poor quality of food. Ordered a McDouble with mayo (not provided despite extra cost) Slow service during slow traffic hours (1:30am) go somewhere else, just overall poor service and poor quality and lack of care.",1,04/20/2023
McDonald's,I love McDonald’s coffee.,5,04/17/2023
McDonald's,"Super lazy staff, don’t come here for wasting your time",1,04/07/2023
McDonald's,"Went there for takeout, usual mcdonalds quality, small and clean place but very very slow service.",3,04/03/2023
McDonald's,Might be the worst location ever. No sense of urgency.,1,03/23/2023
McDonald's,"Their  buns are always stale, they throw everything together haphazardly and the chicken on their big Mac tastes like dried day old garbage. Much better quality and service at the liberty Village King location.",1,03/19/2023
McDonald's,"Decent place, typical of chain",4,03/18/2023
McDonald's,"I wish there was a McDonald's near king and Bathurst where you could pickup food yourself without paying uber eats.  This location is primarily for food delivery services only, avoid if you are a regular walk in or pickup customer.",1,03/09/2023
McDonald's,You should go to somewhere  Else,1,03/02/2023
McDonald's,"Fast paced, very friendly",5,02/25/2023
McDonald's,"Just by having a sip of their coffee I was completely appalled. Dirty establishment, horrible goods.",1,02/22/2023
McDonald's,"Where is the manager night time, those male servers just talking each others people waiting lines.",1,02/18/2023
McDonald's,"This place catches a ton of flack because it’s in a busy area with drunk people coming in from the bars but the staff has always been super friendly especially in the mornings.<br><br>Went in today, totally messed up my breakfast order on the app, and even though it was my fault they gave me an extra breakfast sandwich (the one I originally wanted) for free.<br><br>Made my day.",5,02/17/2023
McDonald's,We headed to MCs several times before the discount coupons expired. Had the egg/bacon/English muffin combo with small fries and a small cappuccino for just CAD4.99 before tax! Always a cost effective comfort :),5,02/12/2023
McDonald's,I would like to make a recommendation for staff to please wear hair nets. I went there tonight and was shocked that they were not wearing any. I also found a few hairs in my fries.,1,02/04/2023
McDonald's,"Employees not with attention to work and distracted !<br>AGAIN  waited 10 min just to get coffee, meanwhile customers that came after me got their order faster and weren’t just coffee!!!",1,01/30/2023
McDonald's,"Never order from this location again, seems the staff here will just throw drinks into a bag and ruin your whole order. Didn’t pay to get soggy, ruined food. Save your money and order from another location instead.",1,01/27/2023
McDonald's,This location sucks so bad. Like so bad. It is simply awful.<br><br>Excluding some stand-out members the majority of staff completely ignore you and quietly mumble your order number. They are extremely slow (once waited 1 hour for them to make fries via Ubereats?!) and almost always make your order wrong (once ordered a Mcdouble and all I got was the bap) or forget items (they have forgotten my hash browns over 10 times now).<br><br>Given this place too many chances. Going to be spending my money elsewhere and recommend you do too.,1,01/22/2023
McDonald's,Not healthy..... Would avoid,1,01/18/2023
McDonald's,"I guarantee you cannot find a worse McDonald’s with slower service in the whole of Toronto. You go to pick up your food from a mobile order and treated to slow service, and like you don’t exist. Your food will be sat there with all the staff laughing in the back or just straight up ignoring you.<br><br>Just a terrible experience all around. Did I mention this branch on recently have lettuce stocked? No lie",2,01/16/2023
McDonald's,"No one had a hair net on. Constantly scratching their head. It was clean, though.",3,01/16/2023
McDonald's,I feel for the people who work at this location. They deal with a lot.,2,01/11/2023
McDonald's,Need hamburger early please,3,01/11/2023
McDonald's,"This location is the slowest, most disorganized location in all of Toronto. Just brutal. Go to the Queen and Spadina location instead.",1,01/07/2023
McDonald's,This place is weird. It tookages to get the food. They had alot of orders but they were working so slow it was odd considering how busy it was.<br>I used to work in mcdonalds for context,2,01/01/2023
McDonald's,I mean I come here for pickup and haven't really felt like I exist,3,12/31/2022
McDonald's,The employee's literally avoid eye contact and carry on wearing their airpods and having a full out convo in their language.  Like I do get it ..it's fast food but you would expect some kind of professionalism. Service garbage food cold employee's I hope they have their airpod charger on shift.  The manager is a next clown he too busy flirting with the employee's to even care about customers waiting for the food. Definitely avoid this spot late night.,1,12/11/2022
